,edad,contagios
0,90,89986
1,37,75262
2,76,7421
3,77,42435
4,63,55529
5,75,23507
6,41,51140
7,63,70684
8,75,31632
9,32,7246
10,53,44730
11,46,64166
12,82,85792
13,52,35876
14,62,76564
15,33,81355
16,82,24376
17,65,53157
18,89,13403
19,77,89310
20,61,37552
21,29,11130
22,41,78644
23,72,13647
24,68,84334
25,53,49006
26,13,16859
27,76,86130
28,78,88470
29,83,86925
30,15,36486
31,63,6128
32,41,4222
33,47,87810
34,57,44165
35,46,85087
36,48,39844
37,24,26974
38,51,81089
39,49,32096
40,26,70967
41,32,64488
42,74,59742
43,41,67410
44,17,30982
45,50,58468
46,82,56880
47,45,55136
48,37,68568
49,69,89283
50,57,39879
51,47,51800
52,61,89342
53,52,22556
54,50,31842
55,54,2377
56,33,63173
57,21,72044
58,82,57808
59,67,10687
60,16,40183
61,87,43310
62,89,81584
63,72,33264
64,44,56271
65,15,23255
66,86,41472
67,22,61999
68,35,8939
69,48,10736
70,35,47488
71,32,10713
72,49,88877
73,17,16059
74,78,31466
75,35,85993
76,17,34692
77,25,55213
78,69,77136
79,68,79140
80,12,38724
81,30,71286
82,79,10589
83,43,27655
84,75,7618
85,66,13183
86,73,77162
87,82,83429
88,29,30585
89,37,28234
90,11,50722
91,13,20925
92,84,7314
93,16,39240
94,52,1079
95,25,32968
96,82,39080
97,51,2861
98,84,83384
99,59,73693
